relation,src_node_id,dst_node_id,src_node_index,dst_node_index,jaccard,shared_genes
disease_gene_jaccard,ETCM_disease_id_1231,ETCM_disease_id_1101,764,683,0.38461539149284363,5
disease_gene_jaccard,ETCM_disease_id_1234,ETCM_disease_id_1236,767,768,0.4038461446762085,21
disease_gene_jaccard,ETCM_disease_id_1236,ETCM_disease_id_1234,768,767,0.4038461446762085,21
disease_gene_jaccard,ETCM_disease_id_1238,ETCM_disease_id_3458,770,2191,0.22413793206214905,39
disease_gene_jaccard,ETCM_disease_id_125,ETCM_disease_id_1371,79,863,0.22413793206214905,13
disease_gene_jaccard,ETCM_disease_id_126,ETCM_disease_id_3155,80,2004,0.28947368264198303,22
disease_gene_jaccard,ETCM_disease_id_1265,ETCM_disease_id_1269,784,787,0.4057970941066742,56
disease_gene_jaccard,ETCM_disease_id_1268,ETCM_disease_id_1650,786,1046,0.4166666567325592,10
disease_gene_jaccard,ETCM_disease_id_1268,ETCM_disease_id_1472,786,932,0.4166666567325592,10
disease_gene_jaccard,ETCM_disease_id_1269,ETCM_disease_id_1265,787,784,0.4057970941066742,56
disease_gene_jaccard,ETCM_disease_id_1271,ETCM_disease_id_1265,789,784,0.3481481373310089,47
disease_gene_jaccard,ETCM_disease_id_1281,ETCM_disease_id_1567,796,996,0.5,12
disease_gene_jaccard,ETCM_disease_id_1281,ETCM_disease_id_3062,796,1931,0.47999998927116394,12
disease_gene_jaccard,ETCM_disease_id_1281,ETCM_disease_id_153,796,100,0.47999998927116394,12
disease_gene_jaccard,ETCM_disease_id_1288,ETCM_disease_id_407,802,265,0.20087336003780365,46
disease_gene_jaccard,ETCM_disease_id_129,ETCM_disease_id_2904,82,1822,0.6875,11
disease_gene_jaccard,ETCM_disease_id_129,ETCM_disease_id_378,82,245,0.5789473652839661,11
disease_gene_jaccard,ETCM_disease_id_1295,ETCM_disease_id_545,805,351,0.25067025423049927,187
disease_gene_jaccard,ETCM_disease_id_1296,ETCM_disease_id_290,806,191,0.692307710647583,9
disease_gene_jaccard,ETCM_disease_id_1296,ETCM_disease_id_1405,806,888,0.692307710647583,9
disease_gene_jaccard,ETCM_disease_id_1296,ETCM_disease_id_4170,806,2622,0.6470588445663452,11
disease_gene_jaccard,ETCM_disease_id_1302,ETCM_disease_id_3096,810,1958,0.625,5
disease_gene_jaccard,ETCM_disease_id_1303,ETCM_disease_id_378,811,245,0.32499998807907104,13
disease_gene_jaccard,ETCM_disease_id_1303,ETCM_disease_id_2904,811,1822,0.28205129504203796,11
disease_gene_jaccard,ETCM_disease_id_1303,ETCM_disease_id_129,811,82,0.261904776096344,11
disease_gene_jaccard,ETCM_disease_id_1304,ETCM_disease_id_785,812,503,0.23711340129375458,23
disease_gene_jaccard,ETCM_disease_id_1306,ETCM_disease_id_290,814,191,0.75,9
disease_gene_jaccard,ETCM_disease_id_1306,ETCM_disease_id_1405,814,888,0.75,9
disease_gene_jaccard,ETCM_disease_id_1306,ETCM_disease_id_395,814,256,0.6666666865348816,8
disease_gene_jaccard,ETCM_disease_id_1306,ETCM_disease_id_3919,814,2473,0.6666666865348816,8
disease_gene_jaccard,ETCM_disease_id_1306,ETCM_disease_id_1785,814,1131,0.6666666865348816,8
disease_gene_jaccard,ETCM_disease_id_1308,ETCM_disease_id_2547,816,1601,0.3499999940395355,7
disease_gene_jaccard,ETCM_disease_id_131,ETCM_disease_id_3332,84,2113,0.20720720291137695,23
disease_gene_jaccard,ETCM_disease_id_1310,ETCM_disease_id_3155,817,2004,0.4888888895511627,22
disease_gene_jaccard,ETCM_disease_id_1310,ETCM_disease_id_2102,817,1351,0.42307692766189575,22
disease_gene_jaccard,ETCM_disease_id_1310,ETCM_disease_id_470,817,306,0.4000000059604645,22
disease_gene_jaccard,ETCM_disease_id_1311,ETCM_disease_id_1295,818,805,0.20532318949699402,108
disease_gene_jaccard,ETCM_disease_id_1312,ETCM_disease_id_1326,819,830,0.4545454680919647,25
disease_gene_jaccard,ETCM_disease_id_1313,ETCM_disease_id_1956,820,1243,0.2631579041481018,20
disease_gene_jaccard,ETCM_disease_id_1313,ETCM_disease_id_3706,820,2341,0.23076923191547394,12
disease_gene_jaccard,ETCM_disease_id_1313,ETCM_disease_id_3497,820,2217,0.23076923191547394,12
disease_gene_jaccard,ETCM_disease_id_1313,ETCM_disease_id_3186,820,2023,0.23076923191547394,12
disease_gene_jaccard,ETCM_disease_id_1313,ETCM_disease_id_3147,820,1997,0.23076923191547394,12
disease_gene_jaccard,ETCM_disease_id_1313,ETCM_disease_id_1530,820,972,0.23076923191547394,12
disease_gene_jaccard,ETCM_disease_id_1313,ETCM_disease_id_1469,820,929,0.23076923191547394,12
disease_gene_jaccard,ETCM_disease_id_1313,ETCM_disease_id_1399,820,884,0.23076923191547394,12
disease_gene_jaccard,ETCM_disease_id_1313,ETCM_disease_id_1397,820,882,0.23076923191547394,12
disease_gene_jaccard,ETCM_disease_id_1316,ETCM_disease_id_4283,823,2699,0.35593220591545105,42
disease_gene_jaccard,ETCM_disease_id_1316,ETCM_disease_id_2459,823,1548,0.3486238420009613,38
disease_gene_jaccard,ETCM_disease_id_1323,ETCM_disease_id_1564,828,993,0.32307693362236023,21
disease_gene_jaccard,ETCM_disease_id_1323,ETCM_disease_id_4139,828,2605,0.3199999928474426,24
disease_gene_jaccard,ETCM_disease_id_1326,ETCM_disease_id_2826,830,1761,0.5897436141967773,23
disease_gene_jaccard,ETCM_disease_id_1326,ETCM_disease_id_1312,830,819,0.4545454680919647,25
disease_gene_jaccard,ETCM_disease_id_1330,ETCM_disease_id_3586,834,2274,0.5,5
disease_gene_jaccard,ETCM_disease_id_1333,ETCM_disease_id_2877,836,1802,0.2631579041481018,5
disease_gene_jaccard,ETCM_disease_id_1333,ETCM_disease_id_2806,836,1751,0.2631579041481018,5
disease_gene_jaccard,ETCM_disease_id_134,ETCM_disease_id_1303,87,811,0.20430107414722443,19
disease_gene_jaccard,ETCM_disease_id_1344,ETCM_disease_id_2436,842,1537,0.395061731338501,32
disease_gene_jaccard,ETCM_disease_id_1355,ETCM_disease_id_1364,850,858,0.48571428656578064,17
disease_gene_jaccard,ETCM_disease_id_1356,ETCM_disease_id_348,851,224,0.8666666746139526,13
disease_gene_jaccard,ETCM_disease_id_1356,ETCM_disease_id_3575,851,2264,0.8125,13
disease_gene_jaccard,ETCM_disease_id_1356,ETCM_disease_id_3706,851,2341,0.800000011920929,12
disease_gene_jaccard,ETCM_disease_id_1356,ETCM_disease_id_3497,851,2217,0.800000011920929,12
disease_gene_jaccard,ETCM_disease_id_1356,ETCM_disease_id_3186,851,2023,0.800000011920929,12
disease_gene_jaccard,ETCM_disease_id_1356,ETCM_disease_id_3147,851,1997,0.800000011920929,12
disease_gene_jaccard,ETCM_disease_id_1356,ETCM_disease_id_1530,851,972,0.800000011920929,12
disease_gene_jaccard,ETCM_disease_id_1356,ETCM_disease_id_1469,851,929,0.800000011920929,12
disease_gene_jaccard,ETCM_disease_id_1356,ETCM_disease_id_1399,851,884,0.800000011920929,12
disease_gene_jaccard,ETCM_disease_id_1356,ETCM_disease_id_1397,851,882,0.800000011920929,12
disease_gene_jaccard,ETCM_disease_id_1358,ETCM_disease_id_1359,853,854,0.875,21
disease_gene_jaccard,ETCM_disease_id_1358,ETCM_disease_id_3094,853,1956,0.4583333432674408,11
disease_gene_jaccard,ETCM_disease_id_1358,ETCM_disease_id_212,853,140,0.4583333432674408,11
disease_gene_jaccard,ETCM_disease_id_1359,ETCM_disease_id_1358,854,853,0.875,21
disease_gene_jaccard,ETCM_disease_id_1359,ETCM_disease_id_3094,854,1956,0.523809552192688,11
disease_gene_jaccard,ETCM_disease_id_1359,ETCM_disease_id_212,854,140,0.523809552192688,11
disease_gene_jaccard,ETCM_disease_id_136,ETCM_disease_id_3128,89,1980,0.4166666567325592,5
disease_gene_jaccard,ETCM_disease_id_1360,ETCM_disease_id_3266,855,2072,0.3888888955116272,7
disease_gene_jaccard,ETCM_disease_id_1360,ETCM_disease_id_3270,855,2074,0.3684210479259491,7
disease_gene_jaccard,ETCM_disease_id_1364,ETCM_disease_id_1355,858,850,0.48571428656578064,17
disease_gene_jaccard,ETCM_disease_id_1367,ETCM_disease_id_892,861,567,0.23111110925674438,52
disease_gene_jaccard,ETCM_disease_id_1371,ETCM_disease_id_250,863,167,0.6499999761581421,13
disease_gene_jaccard,ETCM_disease_id_138,ETCM_disease_id_4272,91,2690,0.28947368264198303,11
disease_gene_jaccard,ETCM_disease_id_1386,ETCM_disease_id_2855,872,1786,0.4429530203342438,132
disease_gene_jaccard,ETCM_disease_id_1394,ETCM_disease_id_2900,879,1819,0.4375,7
disease_gene_jaccard,ETCM_disease_id_1396,ETCM_disease_id_3706,881,2341,0.9230769276618958,12
disease_gene_jaccard,ETCM_disease_id_1396,ETCM_disease_id_3497,881,2217,0.9230769276618958,12
disease_gene_jaccard,ETCM_disease_id_1396,ETCM_disease_id_3186,881,2023,0.9230769276618958,12
disease_gene_jaccard,ETCM_disease_id_1396,ETCM_disease_id_3147,881,1997,0.9230769276618958,12
disease_gene_jaccard,ETCM_disease_id_1396,ETCM_disease_id_1530,881,972,0.9230769276618958,12
disease_gene_jaccard,ETCM_disease_id_1396,ETCM_disease_id_1469,881,929,0.9230769276618958,12
disease_gene_jaccard,ETCM_disease_id_1396,ETCM_disease_id_1399,881,884,0.9230769276618958,12
disease_gene_jaccard,ETCM_disease_id_1396,ETCM_disease_id_1397,881,882,0.9230769276618958,12
disease_gene_jaccard,ETCM_disease_id_1397,ETCM_disease_id_3706,882,2341,1.0,12
disease_gene_jaccard,ETCM_disease_id_1397,ETCM_disease_id_3497,882,2217,1.0,12
disease_gene_jaccard,ETCM_disease_id_1397,ETCM_disease_id_3186,882,2023,1.0,12
disease_gene_jaccard,ETCM_disease_id_1397,ETCM_disease_id_3147,882,1997,1.0,12
disease_gene_jaccard,ETCM_disease_id_1397,ETCM_disease_id_1530,882,972,1.0,12
disease_gene_jaccard,ETCM_disease_id_1397,ETCM_disease_id_1469,882,929,1.0,12
disease_gene_jaccard,ETCM_disease_id_1397,ETCM_disease_id_1399,882,884,1.0,12
disease_gene_jaccard,ETCM_disease_id_1399,ETCM_disease_id_3706,884,2341,1.0,12
disease_gene_jaccard,ETCM_disease_id_1399,ETCM_disease_id_3497,884,2217,1.0,12
disease_gene_jaccard,ETCM_disease_id_1399,ETCM_disease_id_3186,884,2023,1.0,12
disease_gene_jaccard,ETCM_disease_id_1399,ETCM_disease_id_3147,884,1997,1.0,12
disease_gene_jaccard,ETCM_disease_id_1399,ETCM_disease_id_1530,884,972,1.0,12
disease_gene_jaccard,ETCM_disease_id_1399,ETCM_disease_id_1469,884,929,1.0,12
disease_gene_jaccard,ETCM_disease_id_1399,ETCM_disease_id_1397,884,882,1.0,12
disease_gene_jaccard,ETCM_disease_id_1404,ETCM_disease_id_2855,887,1786,0.3266128897666931,81
disease_gene_jaccard,ETCM_disease_id_1405,ETCM_disease_id_290,888,191,1.0,9
disease_gene_jaccard,ETCM_disease_id_1405,ETCM_disease_id_395,888,256,0.8888888955116272,8
disease_gene_jaccard,ETCM_disease_id_1405,ETCM_disease_id_3919,888,2473,0.8888888955116272,8
disease_gene_jaccard,ETCM_disease_id_1405,ETCM_disease_id_1785,888,1131,0.8888888955116272,8
disease_gene_jaccard,ETCM_disease_id_1407,ETCM_disease_id_2459,890,1548,0.3663366436958313,37
disease_gene_jaccard,ETCM_disease_id_1407,ETCM_disease_id_1569,890,998,0.3564356565475464,36
disease_gene_jaccard,ETCM_disease_id_1408,ETCM_disease_id_3538,891,2241,0.2586206793785095,15
disease_gene_jaccard,ETCM_disease_id_1409,ETCM_disease_id_3052,892,1923,0.4516128897666931,14
disease_gene_jaccard,ETCM_disease_id_1409,ETCM_disease_id_2138,892,1370,0.4375,14
disease_gene_jaccard,ETCM_disease_id_1426,ETCM_disease_id_1804,898,1141,0.44999998807907104,9
disease_gene_jaccard,ETCM_disease_id_1426,ETCM_disease_id_230,898,155,0.4444444477558136,8
disease_gene_jaccard,ETCM_disease_id_1429,ETCM_disease_id_1430,899,900,0.625,5
disease_gene_jaccard,ETCM_disease_id_1430,ETCM_disease_id_1429,900,899,0.625,5
disease_gene_jaccard,ETCM_disease_id_1439,ETCM_disease_id_3793,906,2395,0.25641027092933655,10
disease_gene_jaccard,ETCM_disease_id_1440,ETCM_disease_id_541,907,348,0.5333333611488342,8
disease_gene_jaccard,ETCM_disease_id_1450,ETCM_disease_id_2122,912,1362,0.3125,35
disease_gene_jaccard,ETCM_disease_id_1456,ETCM_disease_id_3706,917,2341,0.4444444477558136,12
disease_gene_jaccard,ETCM_disease_id_1456,ETCM_disease_id_3497,917,2217,0.4444444477558136,12
