id,name
14,9606.ENSP00000298085
16,9606.ENSP00000296140
22,9606.ENSP00000286758
24,9606.ENSP00000316670
30,9606.ENSP00000391434
114,9606.ENSP00000251535
116,9606.ENSP00000218758
117,9606.ENSP00000398276
128,9606.ENSP00000223642
173,9606.ENSP00000264218
175,9606.ENSP00000362298
200,9606.ENSP00000345824
252,9606.ENSP00000283415
257,9606.ENSP00000325120
264,9606.ENSP00000272644
265,9606.ENSP00000216392
292,9606.ENSP00000265572
296,9606.ENSP00000339933
304,9606.ENSP00000007699
307,9606.ENSP00000389443
358,9606.ENSP00000254846
364,9606.ENSP00000360266
368,9606.ENSP00000358963
396,9606.ENSP00000238607
437,9606.ENSP00000345892
445,9606.ENSP00000260682
449,9606.ENSP00000387123
456,9606.ENSP00000409378
467,9606.ENSP00000402316
490,9606.ENSP00000037243
492,9606.ENSP00000412673
539,9606.ENSP00000346560
541,9606.ENSP00000368759
548,9606.ENSP00000306866
567,9606.ENSP00000375391
570,9606.ENSP00000316244
577,9606.ENSP00000362649
589,9606.ENSP00000419353
648,9606.ENSP00000348762
661,9606.ENSP00000337261
701,9606.ENSP00000296468
722,9606.ENSP00000332656
728,9606.ENSP00000308720
748,9606.ENSP00000225928
753,9606.ENSP00000368046
756,9606.ENSP00000387088
759,9606.ENSP00000311405
773,9606.ENSP00000379736
774,9606.ENSP00000178638
782,9606.ENSP00000329380
820,9606.ENSP00000409151
823,9606.ENSP00000226840
852,9606.ENSP00000328973
868,9606.ENSP00000359594
926,9606.ENSP00000263339
936,9606.ENSP00000296350
970,9606.ENSP00000349049
983,9606.ENSP00000276414
1004,9606.ENSP00000330375
1030,9606.ENSP00000331912
1033,9606.ENSP00000269582
1040,9606.ENSP00000312652
1041,9606.ENSP00000342112
1090,9606.ENSP00000308268
1093,9606.ENSP00000261908
1129,9606.ENSP00000346901
1143,9606.ENSP00000358511
1158,9606.ENSP00000358421
1174,9606.ENSP00000256906
1200,9606.ENSP00000356436
1203,9606.ENSP00000011653
1226,9606.ENSP00000252338
1229,9606.ENSP00000360021
1296,9606.ENSP00000252490
1305,9606.ENSP00000253513
1318,9606.ENSP00000420211
1342,9606.ENSP00000216037
1353,9606.ENSP00000280155
1377,9606.ENSP00000392723
1399,9606.ENSP00000305288
1402,9606.ENSP00000351682
1404,9606.ENSP00000221486
1409,9606.ENSP00000375066
1445,9606.ENSP00000359211
1450,9606.ENSP00000234371
1477,9606.ENSP00000341952
1483,9606.ENSP00000248114
1496,9606.ENSP00000231509
1516,9606.ENSP00000344193
1534,9606.ENSP00000354111
1554,9606.ENSP00000404157
1564,9606.ENSP00000295683
1574,9606.ENSP00000220597
1578,9606.ENSP00000264606
1580,9606.ENSP00000259271
1583,9606.ENSP00000355739
1584,9606.ENSP00000364412
1652,9606.ENSP00000304642
1658,9606.ENSP00000324944
1670,9606.ENSP00000261313
1683,9606.ENSP00000349770
1688,9606.ENSP00000293778
1732,9606.ENSP00000359729
1763,9606.ENSP00000336725
1766,9606.ENSP00000316924
1772,9606.ENSP00000023897
1785,9606.ENSP00000317141
1787,9606.ENSP00000359329
1802,9606.ENSP00000340684
1827,9606.ENSP00000228872
1839,9606.ENSP00000324806
1851,9606.ENSP00000348697
1853,9606.ENSP00000372136
1855,9606.ENSP00000308938
1857,9606.ENSP00000304997
1872,9606.ENSP00000356429
1879,9606.ENSP00000261755
1908,9606.ENSP00000276198
1969,9606.ENSP00000299565
1995,9606.ENSP00000375091
2060,9606.ENSP00000347979
2109,9606.ENSP00000264708
2119,9606.ENSP00000407088
2131,9606.ENSP00000311825
2136,9606.ENSP00000393492
2150,9606.ENSP00000300873
2155,9606.ENSP00000335544
2199,9606.ENSP00000265773
2209,9606.ENSP00000356792
2214,9606.ENSP00000244217
2223,9606.ENSP00000351273
2249,9606.ENSP00000227378
2255,9606.ENSP00000243389
2290,9606.ENSP00000250018
2293,9606.ENSP00000325136
2297,9606.ENSP00000342557
2300,9606.ENSP00000324553
2303,9606.ENSP00000240619
2309,9606.ENSP00000327724
2322,9606.ENSP00000376623
2330,9606.ENSP00000387230
2355,9606.ENSP00000342560
2363,9606.ENSP00000402038
2364,9606.ENSP00000330442
2387,9606.ENSP00000332812
2389,9606.ENSP00000220676
2408,9606.ENSP00000258749
2427,9606.ENSP00000225992
2447,9606.ENSP00000355155
2451,9606.ENSP00000358525
2485,9606.ENSP00000360973
2503,9606.ENSP00000307859
2543,9606.ENSP00000301587
2579,9606.ENSP00000295453
2617,9606.ENSP00000292303
2626,9606.ENSP00000254488
2634,9606.ENSP00000412237
2651,9606.ENSP00000297792
2695,9606.ENSP00000265023
2700,9606.ENSP00000297185
2712,9606.ENSP00000240055
2717,9606.ENSP00000335592
2759,9606.ENSP00000341662
2766,9606.ENSP00000382018
