id,name,source
ETCM_XHCF_84,"2,6,2',6'-Tetramethoxy-4,4'-Bis(2,3-Epoxy-1-Hydroxypropyl)Biphenyl",existing
ETCM_XHCF_85,"Campesterol,M-Cresol",existing
ETCM_XHCF_86,Dasycarpamine,existing
ETCM_XHCF_87,Dictamnine,existing
ETCM_XHCF_88,Dictamnoside A,existing
ETCM_XHCF_89,Dictamnoside B,existing
ETCM_XHCF_90,Dictamnoside G,existing
ETCM_XHCF_91,Dictamnoside H,existing
ETCM_XHCF_92,Dictamnoside I,existing
ETCM_XHCF_93,Dictamnoside J,existing
ETCM_XHCF_94,Dictamnoside K,existing
ETCM_XHCF_95,Dictamnoside L,existing
ETCM_XHCF_96,Dictamnoside M,existing
ETCM_XHCF_97,Dictamnoside N,existing
ETCM_XHCF_98,Evodol,existing
ETCM_XHCF_99,Î“-Fagarine,existing
ETCM_XHCF_100,Fraxinellone,existing
ETCM_XHCF_101,Isomaculosidine,existing
ETCM_XHCF_102,Kihadanin B,existing
ETCM_XHCF_103,Obaculactone,existing
ETCM_XHCF_104,Obacunoic Acid,existing
ETCM_XHCF_105,Pregnenolone,existing
ETCM_XHCF_106,Preskimmianine,existing
ETCM_XHCF_107,Skimmianine,existing
ETCM_XHCF_108,"Asparagine,Trigonelline",existing
ETCM_XHCF_109,Scopolin,existing
ETCM_XHCF_110,Byakangelicin,existing
ETCM_XHCF_111,Byakangelicol,existing
ETCM_XHCF_112,Xanthotoxol,existing
ETCM_XHCF_113,"Aspartate,Asparagic Acid,Asparaginic Acid,Aspartic Acid,Skimmin",existing
ETCM_XHCF_114,Bergapten,existing
ETCM_XHCF_115,"Adenosine,Adenine Nucleoside",existing
ETCM_XHCF_116,Neobyakangelicol,existing
ETCM_XHCF_117,Neobyakangelicol,existing
ETCM_XHCF_118,Alloimperatorin,existing
ETCM_XHCF_119,Alloisoimperatorin,existing
ETCM_XHCF_120,"Angelicin,Isopsoralen",existing
ETCM_XHCF_121,Aviprin,existing
ETCM_XHCF_122,Byakangelicin,existing
ETCM_XHCF_123,Dahuribirin A,existing
ETCM_XHCF_124,Dahuribirin B,existing
ETCM_XHCF_125,Dahuribirin C,existing
ETCM_XHCF_126,Dahuribirin D,existing
ETCM_XHCF_127,Dahuribirin E,existing
ETCM_XHCF_128,Dahuribirin F,existing
ETCM_XHCF_129,Dahuribirin G,existing
ETCM_XHCF_130,7-Demethylsuberosin,existing
ETCM_XHCF_131,"1,1-Dimethyl-2-(3-Methyl-1,3-Butadiene)Cyclo-Propane",existing
ETCM_XHCF_132,Ethyllaurate,existing
ETCM_XHCF_133,Exaltolide,existing
ETCM_XHCF_134,1-Heptadecanol,existing
ETCM_XHCF_135,Imperatorin,existing
ETCM_XHCF_136,Isoimperatorin,existing
ETCM_XHCF_137,Marmesin,existing
ETCM_XHCF_138,Methyl Cyclodecane,existing
ETCM_XHCF_139,Methylene Tanshinquinone,existing
ETCM_XHCF_140,13-Methyl Pentadecanoic Acid,existing
ETCM_XHCF_141,1-Monolinolein,existing
ETCM_XHCF_142,Nodakenin,existing
ETCM_XHCF_143,8-Nonenoic Acid,existing
