id,name
ETCM_XHCF_93,Dictamnoside J
ETCM_XHCF_94,Dictamnoside K
ETCM_XHCF_95,Dictamnoside L
ETCM_XHCF_96,Dictamnoside M
ETCM_XHCF_97,Dictamnoside N
ETCM_XHCF_98,Evodol
ETCM_XHCF_99,Î“-Fagarine
ETCM_XHCF_100,Fraxinellone
ETCM_XHCF_101,Isomaculosidine
ETCM_XHCF_102,Kihadanin B
ETCM_XHCF_103,Obaculactone
ETCM_XHCF_104,Obacunoic Acid
ETCM_XHCF_105,Pregnenolone
ETCM_XHCF_106,Preskimmianine
ETCM_XHCF_107,Skimmianine
ETCM_XHCF_108,"Asparagine,Trigonelline"
ETCM_XHCF_109,Scopolin
ETCM_XHCF_110,Byakangelicin
ETCM_XHCF_111,Byakangelicol
ETCM_XHCF_112,Xanthotoxol
ETCM_XHCF_113,"Aspartate,Asparagic Acid,Asparaginic Acid,Aspartic Acid,Skimmin"
ETCM_XHCF_114,Bergapten
ETCM_XHCF_115,"Adenosine,Adenine Nucleoside"
ETCM_XHCF_116,Neobyakangelicol
ETCM_XHCF_117,Neobyakangelicol
ETCM_XHCF_118,Alloimperatorin
ETCM_XHCF_119,Alloisoimperatorin
ETCM_XHCF_120,"Angelicin,Isopsoralen"
ETCM_XHCF_121,Aviprin
ETCM_XHCF_122,Byakangelicin
ETCM_XHCF_123,Dahuribirin A
ETCM_XHCF_124,Dahuribirin B
ETCM_XHCF_125,Dahuribirin C
ETCM_XHCF_126,Dahuribirin D
ETCM_XHCF_127,Dahuribirin E
ETCM_XHCF_128,Dahuribirin F
ETCM_XHCF_129,Dahuribirin G
ETCM_XHCF_130,7-Demethylsuberosin
ETCM_XHCF_131,"1,1-Dimethyl-2-(3-Methyl-1,3-Butadiene)Cyclo-Propane"
ETCM_XHCF_132,Ethyllaurate
ETCM_XHCF_133,Exaltolide
ETCM_XHCF_134,1-Heptadecanol
ETCM_XHCF_135,Imperatorin
ETCM_XHCF_136,Isoimperatorin
ETCM_XHCF_137,Marmesin
ETCM_XHCF_138,Methyl Cyclodecane
ETCM_XHCF_139,Methylene Tanshinquinone
ETCM_XHCF_140,13-Methyl Pentadecanoic Acid
ETCM_XHCF_141,1-Monolinolein
ETCM_XHCF_142,Nodakenin
ETCM_XHCF_143,8-Nonenoic Acid
ETCM_XHCF_144,Nonyl Cyclopropane
ETCM_XHCF_145,Octadecanol
ETCM_XHCF_146,9(Z)-Octadecen-1-Ol
ETCM_XHCF_147,(+)-Oxypeucedanin
ETCM_XHCF_148,Oxypeucedanin Methanolate
ETCM_XHCF_149,Pabulenol
ETCM_XHCF_150,1-Pentadecene
ETCM_XHCF_151,Î’-Phellandrene
ETCM_XHCF_152,Sen-Byakangelicol
ETCM_XHCF_153,1-Tetradecanol
ETCM_XHCF_154,1-Tetradecene
ETCM_XHCF_155,Tridecanoic Acid
ETCM_XHCF_156,Undecene
ETCM_XHCF_157,10-Undecenoic Acid
ETCM_XHCF_158,"Acetic Acid,Propionic Acid"
ETCM_XHCF_159,Stemonidine
ETCM_XHCF_160,Isostemonamine
ETCM_XHCF_161,Oxotuberostemonine
ETCM_XHCF_162,Stemofoline
ETCM_XHCF_163,Stemofoline
ETCM_XHCF_164,Hordenine
ETCM_XHCF_165,Didehydrotuberostemonine
ETCM_XHCF_166,Epi-Bisdehydrotuberostemonine J
ETCM_XHCF_167,Isostemotinine
ETCM_XHCF_168,Isotuberostemonine
ETCM_XHCF_169,Malic Acid
ETCM_XHCF_170,Neostenine
ETCM_XHCF_171,Neotuberostemonine
ETCM_XHCF_172,Oxotuberostemonine
ETCM_XHCF_173,Oxotuberostemonine Ii
ETCM_XHCF_174,Stemonine
ETCM_XHCF_175,Stemotinine
ETCM_XHCF_176,Stenine
ETCM_XHCF_177,Tuberostemoenone
ETCM_XHCF_178,Tuberostemonine
ETCM_XHCF_179,Tuberostemonine H
ETCM_XHCF_180,Tuberostemonine J
ETCM_XHCF_181,Tuberostemonol
ETCM_XHCF_182,Tuberostemonone
ETCM_XHCF_183,Tuberostemospironine
ETCM_XHCF_184,Dihydropinosylvin
ETCM_XHCF_185,4'-Methylpinosylvin
ETCM_XHCF_186,Pinosylvin
ETCM_XHCF_187,Protostemonine
ETCM_XHCF_188,Stemanthrene A
ETCM_XHCF_189,Stemanthrene B
ETCM_XHCF_190,Stemanthrene C
ETCM_XHCF_191,Stemanthrene D
ETCM_XHCF_192,Stilbostemin B
ETCM_XHCF_193,Stilbostemin D
ETCM_XHCF_194,Stilbostemin E
ETCM_XHCF_195,Stilbostemin G
ETCM_XHCF_196,Dehydroprotostemonine
ETCM_XHCF_197,2'-Hydroxystemofoline
ETCM_XHCF_198,Oxyprotostemonine
ETCM_XHCF_199,Oxystemokerrin
ETCM_XHCF_200,Oxystemokerrin-N-Oxide
ETCM_XHCF_201,Stemocochinin
ETCM_XHCF_202,Parvistemonine
ETCM_XHCF_203,Pyridostemin
ETCM_XHCF_204,Lilioside C
ETCM_XHCF_205,Regaloside A
ETCM_XHCF_206,Regaloside A
ETCM_XHCF_207,Brownioside
ETCM_XHCF_208,Colchicine
ETCM_XHCF_209,Emodin
ETCM_XHCF_210,"26-O-Î’-D-Glucopyranosyl-3Î’,26-Dihydroxy-Î”5-Choleslen-16,22-Dioxo-3-O-Î‘-L-Rhamnopyranosyl-(1â†’2)-Î’-D-Glucopyranoside"
ETCM_XHCF_211,Neohyacinthoside
ETCM_XHCF_212,Regaloside D
ETCM_XHCF_213,Solasodine 3-O-Î‘-L-Rhamnopyranosyl (1â†’2)-O-[Î’-D-Glucopyranosyl (1â†’4)]-Î’-D-Glucopyranoside
ETCM_XHCF_214,Cyanidin-3-O-Î’-Rutinoside-7-O-Î’-Glucoside
ETCM_XHCF_215,"15,16-Bisnor-13-Oxo-8(17),11E-Labdadien-19-Oic Acid"
ETCM_XHCF_216,"15,16-Bisnor-13-Oxo-8(17)-Labden-19-Oic Acid"
ETCM_XHCF_217,"Ent-Isopimara-15-En-Î‘,Î‘-Diol"
ETCM_XHCF_218,(10S)-15-Methoxypinusolidic Acid
ETCM_XHCF_219,Pinusolide
ETCM_XHCF_220,"14,15,16-Trisnor-8(17)-Labdene-13,19-Dioic Acid"
ETCM_XHCF_221,Epigoitrin
ETCM_XHCF_222,Indoxyl-Î’-Glucoside
ETCM_XHCF_223,Indirubin
ETCM_XHCF_224,Indirubin
ETCM_XHCF_225,Gamma-Aminobutyric Acid
ETCM_XHCF_226,Î’-N-Butyl-D-Tagatopyranoside
ETCM_XHCF_227,"2,3-Dihydro-4-Hydroxy-2-Indole-3-Acetonitrile"
ETCM_XHCF_228,"(E)-3-(3',5'-Dimethoxy-4'-Hydroxybenzylidene)-2-Indolinone"
ETCM_XHCF_229,3-(2'-Hydroxyphenyl)-4-(3H)-Quinazolinone
ETCM_XHCF_230,Indigotiisocoumarin A
ETCM_XHCF_231,Indigotin
ETCM_XHCF_232,Indole-3-Acetonitrile-6-O-Î’-D-Glucopyranoside
ETCM_XHCF_233,(E)-2-[(3'-Indole)Cyanomethylene]-3-Indolinone
ETCM_XHCF_234,Isaindigodione
ETCM_XHCF_235,Isaindigotidione
ETCM_XHCF_236,Isatin
ETCM_XHCF_237,Kinetin
ETCM_XHCF_238,Sinalbine
ETCM_XHCF_239,Sinigrin
ETCM_XHCF_240,"Beta-Sitosterol,Î“-Sitosterol"
ETCM_XHCF_241,"4-(1,2,3-Trihydroxypropyl)-2,6-Dimethoxyphenyl-1-O-Î’-D-Glucopyranoside"
ETCM_XHCF_242,Tryptanthrine
ETCM_XHCF_243,P-Hydroxybenzoic Acid
ETCM_XHCF_244,Isolobelanine
ETCM_XHCF_245,Lobelanidine
ETCM_XHCF_246,Lobelanine
ETCM_XHCF_247,Lobeline
ETCM_XHCF_248,Lobelinin A
ETCM_XHCF_249,Radicamine A
ETCM_XHCF_250,Radicamine B
