:START_ID,:END_ID
18062,ETCM_Target_Genes_id_550
1483,ETCM_Target_Genes_id_558
12881,ETCM_Target_Genes_id_560
21056,ETCM_Target_Genes_id_567
8854,ETCM_Target_Genes_id_569
10048,ETCM_Target_Genes_id_570
9542,ETCM_Target_Genes_id_571
6513,ETCM_Target_Genes_id_571
9542,ETCM_Target_Genes_id_1750
10432,ETCM_Target_Genes_id_575
16641,ETCM_Target_Genes_id_579
19351,ETCM_Target_Genes_id_579
4307,ETCM_Target_Genes_id_588
6471,ETCM_Target_Genes_id_1564
14572,ETCM_Target_Genes_id_600
19519,ETCM_Target_Genes_id_601
13210,ETCM_Target_Genes_id_603
21412,ETCM_Target_Genes_id_606
14296,ETCM_Target_Genes_id_608
12211,ETCM_Target_Genes_id_614
17646,ETCM_Target_Genes_id_617
5873,ETCM_Target_Genes_id_618
7658,ETCM_Target_Genes_id_619
1839,ETCM_Target_Genes_id_622
13392,ETCM_Target_Genes_id_629
8178,ETCM_Target_Genes_id_630
10999,ETCM_Target_Genes_id_631
5251,ETCM_Target_Genes_id_646
5251,ETCM_Target_Genes_id_645
18833,ETCM_Target_Genes_id_644
4099,ETCM_Target_Genes_id_653
577,ETCM_Target_Genes_id_654
1578,ETCM_Target_Genes_id_1590
15825,ETCM_Target_Genes_id_1868
15624,ETCM_Target_Genes_id_656
20730,ETCM_Target_Genes_id_658
3780,ETCM_Target_Genes_id_667
12341,ETCM_Target_Genes_id_668
15939,ETCM_Target_Genes_id_669
13560,ETCM_Target_Genes_id_1370
21386,ETCM_Target_Genes_id_679
2355,ETCM_Target_Genes_id_1690
1174,ETCM_Target_Genes_id_1905
18403,ETCM_Target_Genes_id_686
17795,ETCM_Target_Genes_id_687
10652,ETCM_Target_Genes_id_643
16290,ETCM_Target_Genes_id_690
1584,ETCM_Target_Genes_id_689
7540,ETCM_Target_Genes_id_1495
13576,ETCM_Target_Genes_id_1806
3548,ETCM_Target_Genes_id_1468
18907,ETCM_Target_Genes_id_692
7333,ETCM_Target_Genes_id_693
2249,ETCM_Target_Genes_id_694
570,ETCM_Target_Genes_id_698
368,ETCM_Target_Genes_id_699
20694,ETCM_Target_Genes_id_700
6395,ETCM_Target_Genes_id_701
2775,ETCM_Target_Genes_id_2067
11008,ETCM_Target_Genes_id_702
7415,ETCM_Target_Genes_id_703
1908,ETCM_Target_Genes_id_704
11638,ETCM_Target_Genes_id_705
3651,ETCM_Target_Genes_id_2091
4949,ETCM_Target_Genes_id_707
3363,ETCM_Target_Genes_id_2068
6834,ETCM_Target_Genes_id_717
15977,ETCM_Target_Genes_id_720
16212,ETCM_Target_Genes_id_725
2297,ETCM_Target_Genes_id_2041
13423,ETCM_Target_Genes_id_727
20730,ETCM_Target_Genes_id_2239
17600,ETCM_Target_Genes_id_744
364,ETCM_Target_Genes_id_757
15779,ETCM_Target_Genes_id_776
7501,ETCM_Target_Genes_id_778
17725,ETCM_Target_Genes_id_158
8685,ETCM_Target_Genes_id_1775
20410,ETCM_Target_Genes_id_806
18809,ETCM_Target_Genes_id_1790
18481,ETCM_Target_Genes_id_823
12801,ETCM_Target_Genes_id_1557
648,ETCM_Target_Genes_id_825
9575,ETCM_Target_Genes_id_827
18162,ETCM_Target_Genes_id_829
18934,ETCM_Target_Genes_id_835
6878,ETCM_Target_Genes_id_837
8817,ETCM_Target_Genes_id_2156
10704,ETCM_Target_Genes_id_1109
20242,ETCM_Target_Genes_id_1110
15143,ETCM_Target_Genes_id_589
15554,ETCM_Target_Genes_id_850
6637,ETCM_Target_Genes_id_863
13034,ETCM_Target_Genes_id_866
15103,ETCM_Target_Genes_id_881
21082,ETCM_Target_Genes_id_882
8660,ETCM_Target_Genes_id_887
4868,ETCM_Target_Genes_id_2242
6465,ETCM_Target_Genes_id_2064
13005,ETCM_Target_Genes_id_892
437,ETCM_Target_Genes_id_2190
7575,ETCM_Target_Genes_id_904
11761,ETCM_Target_Genes_id_932
2451,ETCM_Target_Genes_id_933
8465,ETCM_Target_Genes_id_938
18328,ETCM_Target_Genes_id_940
14432,ETCM_Target_Genes_id_942
14258,ETCM_Target_Genes_id_402
5534,ETCM_Target_Genes_id_1522
5534,ETCM_Target_Genes_id_1522
1496,ETCM_Target_Genes_id_616
5949,ETCM_Target_Genes_id_518
10516,ETCM_Target_Genes_id_1819
5316,ETCM_Target_Genes_id_955
4406,ETCM_Target_Genes_id_957
292,ETCM_Target_Genes_id_958
8376,ETCM_Target_Genes_id_960
9454,ETCM_Target_Genes_id_965
21242,ETCM_Target_Genes_id_1918
11334,ETCM_Target_Genes_id_985
12793,ETCM_Target_Genes_id_1500
6082,ETCM_Target_Genes_id_2199
15933,ETCM_Target_Genes_id_1020
257,ETCM_Target_Genes_id_1024
15933,ETCM_Target_Genes_id_1734
3698,ETCM_Target_Genes_id_1796
8969,ETCM_Target_Genes_id_2109
1200,ETCM_Target_Genes_id_1044
10523,ETCM_Target_Genes_id_1049
17370,ETCM_Target_Genes_id_1050
20541,ETCM_Target_Genes_id_2246
1855,ETCM_Target_Genes_id_1051
20748,ETCM_Target_Genes_id_2133
14053,ETCM_Target_Genes_id_1057
11595,ETCM_Target_Genes_id_1058
1033,ETCM_Target_Genes_id_1058
20743,ETCM_Target_Genes_id_2247
2109,ETCM_Target_Genes_id_1063
13816,ETCM_Target_Genes_id_1072
18028,ETCM_Target_Genes_id_1088
11813,ETCM_Target_Genes_id_1107
7922,ETCM_Target_Genes_id_2248
14654,ETCM_Target_Genes_id_1118
728,ETCM_Target_Genes_id_1122
3390,ETCM_Target_Genes_id_1122
18862,ETCM_Target_Genes_id_1133
8661,ETCM_Target_Genes_id_1144
17504,ETCM_Target_Genes_id_1149
11195,ETCM_Target_Genes_id_1149
20739,ETCM_Target_Genes_id_1150
11195,ETCM_Target_Genes_id_1151
16010,ETCM_Target_Genes_id_1152
17832,ETCM_Target_Genes_id_1153
13520,ETCM_Target_Genes_id_1156
6019,ETCM_Target_Genes_id_1157
19298,ETCM_Target_Genes_id_1158
18641,ETCM_Target_Genes_id_2249
19477,ETCM_Target_Genes_id_1172
265,ETCM_Target_Genes_id_1173
6263,ETCM_Target_Genes_id_1174
9520,ETCM_Target_Genes_id_1816
200,ETCM_Target_Genes_id_1190
12698,ETCM_Target_Genes_id_1191
12187,ETCM_Target_Genes_id_1191
15536,ETCM_Target_Genes_id_1193
3266,ETCM_Target_Genes_id_1203
1516,ETCM_Target_Genes_id_1205
15077,ETCM_Target_Genes_id_1207
19041,ETCM_Target_Genes_id_1231
13109,ETCM_Target_Genes_id_1820
21173,ETCM_Target_Genes_id_1233
21338,ETCM_Target_Genes_id_1979
6753,ETCM_Target_Genes_id_240
3689,ETCM_Target_Genes_id_1237
6950,ETCM_Target_Genes_id_1241
3944,ETCM_Target_Genes_id_973
175,ETCM_Target_Genes_id_1525
8074,ETCM_Target_Genes_id_1264
6558,ETCM_Target_Genes_id_1300
18715,ETCM_Target_Genes_id_1301
9409,ETCM_Target_Genes_id_1303
3561,ETCM_Target_Genes_id_1891
16649,ETCM_Target_Genes_id_1313
14146,ETCM_Target_Genes_id_1269
15676,ETCM_Target_Genes_id_1270
3156,ETCM_Target_Genes_id_1271
18252,ETCM_Target_Genes_id_1274
19341,ETCM_Target_Genes_id_102
